"candid_surname"	"candid_name"	"term_1994"	"list_id_1994"	"list_name_1994"	"candid_num_1994"	"candid_title_1994"	"candid_age_1994"	"party_abb_1994"	"aff_abb_1994"	"votes_num_1994"	"votes_share_1994"	"candid_order_1994"	"candid_seat_1994"	"term_1998"	"list_id_1998"	"list_name_1998"	"candid_num_1998"	"candid_title_1998"	"candid_age_1998"	"party_abb_1998"	"aff_abb_1998"	"votes_num_1998"	"votes_share_1998"	"candid_order_1998"	"candid_seat_1998"	"term_2002"	"list_id_2002"	"list_name_2002"	"candid_num_2002"	"candid_title_2002"	"candid_age_2002"	"party_abb_2002"	"aff_abb_2002"	"votes_num_2002"	"votes_share_2002"	"candid_order_2002"	"candid_seat_2002"	"NA"	"term_2006"	"list_id_2006"	"list_name_2006"	"candid_num_2006"	"candid_title_2006"	"candid_age_2006"	"party_abb_2006"	"aff_abb_2006"	"votes_num_2006"	"votes_share_2006"	"candid_order_2006"	"candid_seat_2006"	"term_2010"	"list_id_2010"	"list_name_2010"	"candid_num_2010"	"candid_title_2010"	"candid_age_2010"	"party_abb_2010"	"aff_abb_2010"	"votes_num_2010"	"votes_share_2010"	"candid_order_2010"	"candid_seat_2010"
"1"	"Beránek"	"Jaroslav"	1994	2	"Sdružení nezávislých kandidátù"	7	""	38	"NK"	"BEZPP"	204	7.4	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Bílková"	"Božena"	1994	1	"Sdružení nezávislých kandidátù"	9	""	58	"NK"	"BEZPP"	54	6.1	7	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Blažková"	"Jana"	1994	1	"Sdružení nezávislých kandidátù"	10	""	55	"NK"	"BEZPP"	65	7.35	8	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Bouchner"	"Jiøí"	1994	3	"Komunistická str.Èech a Moravy"	6	""	37	"KSÈM"	"KSÈM"	54	5.79	5	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Brych"	"Karel"	1994	2	"Sdružení nezávislých kandidátù"	6	""	45	"NK"	"BEZPP"	233	8.45	7	"*"	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	8	""	49	"NK"	"BEZPP"	260	10.72	1	""	2002	1	"Sdruž.nezáv.kand.I."	4	""	53	"NK"	"BEZPP"	202	10.63	4	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Ceniga"	"Martin"	1994	1	"Sdružení nezávislých kandidátù"	5	""	38	"NK"	"BEZPP"	113	12.78	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Èervinka"	"Milan"	1994	2	"Sdružení nezávislých kandidátù"	9	""	47	"NK"	"BEZPP"	292	10.59	3	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Ebrová"	"Marie"	1994	3	"Komunistická str.Èech a Moravy"	7	""	55	"KSÈM"	"KSÈM"	81	8.69	6	""	1998	2	"Komunistická str.Èech a Moravy"	4	""	59	"KSÈM"	"KSÈM"	71	9.65	3	""	2002	2	"Komunistická str.Èech a Moravy"	9	""	63	"KSÈM"	"KSÈM"	40	8	8	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Fišerová"	"Josefa"	1994	3	"Komunistická str.Èech a Moravy"	8	""	46	"KSÈM"	"KSÈM"	76	8.15	7	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"Háša"	"Zdenìk"	1994	3	"Komunistická str.Èech a Moravy"	9	"Ing. "	64	"KSÈM"	"KSÈM"	128	13.73	1	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Hášová"	"Ivona"	1994	1	"Sdružení nezávislých kandidátù"	11	""	57	"NK"	"BEZPP"	57	6.44	9	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"Chmel"	"Antonín"	1994	3	"Komunistická str.Èech a Moravy"	10	""	68	"KSÈM"	"KSÈM"	61	6.54	8	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"Janoušek"	"Jaroslav"	1994	1	"Sdružení nezávislých kandidátù"	7	""	42	"NK"	"BEZPP"	91	10.29	3	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"Jenèík"	"Josef"	1994	3	"Komunistická str.Èech a Moravy"	11	""	71	"KSÈM"	"KSÈM"	46	4.93	9	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"Kacálek"	"Lubomír"	1994	2	"Sdružení nezávislých kandidátù"	1	"Ing. "	41	"NK"	"BEZPP"	306	11.1	1	"*"	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	2	"Ing. "	45	"NK"	"BEZPP"	292	12.4	2	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	"Kalina"	"Václav"	1994	1	"Sdružení nezávislých kandidátù"	1	""	39	"NK"	"BEZPP"	143	16.17	1	"*"	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	5	""	43	"NK"	"BEZPP"	285	11.75	5	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
